World Port Index Number;Main Port Name;Country Code;Digital Nautical Chart;Latitude;Longitude
8270.0;Fredericksburg;United States;a1708230;38.299999999999997;-77.450000000000003
105.0;Grundartangi;Iceland;a1900105, coa19j, gen19b;64.266666999999998;-22.000000000000000
61822.0;Kanazawa;Japan;coa12a, gen12b, h1261822;36.616667000000000;136.599999999999994
61867.0;Kashiwazaki;Japan;coa12a, gen12b;37.366667000000000;138.550000000000011
62900.0;Bolshaya Piryu Guba;Russia;coa22e, gen22a;66.673055555999994;34.361388888999997
8150.0;Bristol;United States;a1708130, h1708160;40.100000000000001;-74.849999999999994
760.0;Aasiaat;Greenland;a2800670, coa28e, gen28b, h2800670;68.710833332999997;-52.868333333000002
16960.0;Camas;United States;a2616940, gen26a;45.583333000000003;-122.400000000000006
1340.0;Goose Bay;Canada;a2801340, gen28a;53.366667000000000;-60.299999999999997
56370.0;Kwajalein;Marshall Islands;a1256370, coa12n, gen12c, h1256370;8.716666999999999;167.733332999999988
19270.0;Klawock;United States;coa26d, gen26c;55.549999999999997;-133.099999999999994
70.0;Keflavik;Iceland;coa19j, gen19b, h1900070;64.000000000000000;-22.550000000000001
18070.0;Blaine;United States;a2618060, gen26b, h2618060;49.000000000000000;-122.750000000000000
810.0;Illulissat (Jakobshavn);Greenland;coa28e, gen28b;69.216667000000001;-51.100000000000001
19260.0;Craig;United States;coa26d, gen26c;55.466667000000001;-133.150000000000006
21315.0;Olavsvern;Norway;a2221310, coa22g, gen22c, h2221315;69.525629248000001;19.007549286000000
28496.0;Meeruse;Estonia;a2228480, coa22v, gen22d, h2228480;59.450870000000002;24.672200000000000
28520.0;Heltermaa;Estonia;coa22r, gen22e;58.866683999999999;23.048341000000001
28498.0;Bekkeri;Estonia;a2228480, coa22v, gen22d, h2228480;59.454540000000001;24.667449999999999
28492.0;Lahesuu;Estonia;a2228480, coa22v, gen22d, h2228480;59.457056203999997;24.703002723000001
28482.0;Miiduranna;Estonia;a2228480, coa22v, gen22d;59.499402000000003;24.816063000000000
19750.0;Latouche;United States;a2519740, coa25d, gen25b;60.050500000000000;-147.904200000000003
19785.0;Coal Point;United States;a2519781, coa25d, gen25b, h2519781;59.601399999999998;-151.411100000000005
12760.0;Port De Aracaju;Brazil;coa01f, gen01b, h0112760;-10.916667000000000;-37.049999999999997
35990.0;Saint Sampson;Guernsey;a2036130, coa20b, gen20b;49.483333000000002;-2.516667000000000
23055.0;Steinkjer;Norway;a2123080, coa21g, gen21b;64.010000000000005;11.478611110999999
2200.0;Port De Becancour;Canada;a1802210, h1802205;46.399999999999999;-72.383332999999993
19860.0;Three Saints Bay;United States;coa25d, gen25b;57.116667000000000;-153.500000000000000
3340.0;Pelee I West Dock;Canada;coa17d;41.766666999999998;-82.683333000000005
32730.0;Sorvagur;Faroe Islands;a1932690, coa19h, gen19b;62.083333000000003;-7.250000000000000
19190.0;Union Bay;United States;a2619300, coa26d, gen26c;55.766666999999998;-132.216667000000001
44380.0;Rize;Turkey;coa10a, gen10b;41.066667000000002;40.516666999999998
23990.0;Uddevalla;Sweden;a2123930, coa21e, gen21a, h2123990;58.334722222000003;11.877500000000000
17440.0;Port Orchard;United States;a2617700, gen26a, h2617730;47.533332999999999;-122.633332999999993
840.0;Qeqertarsuaq;Greenland;a2800670, coa28e, gen28b;69.233333000000002;-53.533332999999999
20370.0;Unalakleet;United States;coa27b, gen27b;63.883333000000000;-160.783332999999999
31140.0;Rotterdam;Netherlands;coa21a, gen21a, h2131140;51.899999999999999;4.483333000000000
14635.0;Puerto Calderilla;Chile;coa07d, gen07b, h0714630;-27.083333000000000;-70.866667000000007
34950.0;Swansea;United Kingdom;coa20j, gen20b;51.616667000000000;-3.950000000000000
20425.0;Shishmaref;United States;gen27b;66.250000000000000;-166.083333000000010
3610.0;Rouge River;United States;coa17d;42.283332999999999;-83.116667000000007
1040.0;Pangnirtung;Canada;coa28m, gen28f;66.133332999999993;-65.750000000000000
17120.0;Port Angeles;United States;a2617160, gen26b, h2617120;48.116667000000000;-123.433333000000005
26730.0;Ornskoldsvik;Sweden;a2226730, coa22u, gen22d, h2226730;63.283332999999999;18.716667000000001
23139.0;Stura;Norway;a2123160, coa21f, gen21a;60.622222221999998;4.863333333000000
20700.0;Vardo;Norway;coa22f, gen22c, h2220700;70.376944444000003;31.105555555999999
2430.0;Papineauville;Canada;h1802742;45.616667000000000;-75.016666999999998
26290.0;Utansjo;Sweden;a2226240, coa22u, gen22d;62.766666999999998;17.933333000000001
18850.0;Sointula;Canada;a2618875, gen26b;50.633333000000000;-127.016666999999998
27870.0;Signilskar;Finland;coa22m, gen22d;60.200000000000003;19.333333000000000
35370.0;Plymouth;United Kingdom;a2035370, coa20b, gen20b, h2035370;50.366667000000000;-4.150000000000000
19140.0;Ward Cove;United States;a2619300, coa26d, gen26c, h2619130;55.399999999999999;-131.733332999999988
30630.0;Ringkobing;Denmark;coa21b, gen21a;56.083333000000003;8.250000000000000
23720.0;Tonsberg;Norway;a2123810, coa21e, gen21a, h2123720;59.262222221999998;10.410000000000000
31760.0;Sunderland;United Kingdom;a2031765, coa20e, gen20b;54.916666999999997;-1.366667000000000
19390.0;Port Conclusion;United States;coa26d, gen26c;56.250000000000000;-134.683333000000005
6575.0;Port Bayside Nb;Canada;coa18b, gen18a;45.149999999999999;-67.133332999999993
16950.0;Vancouver;United States;gen26a, h2616940;45.633333000000000;-122.683333000000005
44090.0;Yeysk;Russia;coa10a, gen10b;46.733333000000002;38.266666999999998
12750.0;Porto De Maceio;Brazil;a0112750, coa01f, gen01b, h0112750;-9.666667000000000;-35.733333000000002
27400.0;Tornio;Finland;a2227410, coa22l, gen22d, h2227400;65.766666999999998;24.166667000000000
27780.0;Rauma;Finland;a2227780, coa22u, gen22d, h2227780;61.125000000000000;21.446111111000000
19840.0;Port Hobron;United States;coa25d, gen25b;57.166666999999997;-153.166666999999990
14250.0;Puerto Quemchi;Chile;a0714250, coa07d, gen07b;-42.149999999999999;-73.483333000000002
7270.0;Scituate;United States;a1807250, coa18a, gen18a, h1807250;42.200000000000003;-70.716667000000001
13790.0;Quequen;Argentina;a0713790, coa07a, gen07a, h0713790;-38.583333000000003;-58.700000000000003
8510.0;Port Royal;United States;a1508530, coa15b, gen15, h1508510;32.366667000000000;-80.683333000000005
20060.0;Unga;United States;coa25b, gen25b;55.183332999999998;-160.500000000000000
27520.0;Oulu;Finland;a2227520, coa22l, gen22d, h2227520;65.016666999999998;25.399999999999999
35715.0;Ramsgate;United Kingdom;a2031470, coa20d, gen20b, h2035710;51.333333000000003;1.416667000000000
4000.0;Port Severn;Canada;h1802740;44.799999999999997;-79.716667000000001
19030.0;Port Clements;Canada;coa26c, gen26b;53.683332999999998;-132.183333000000005
2980.0;Oshawa;Canada;h1802740;43.866667000000000;-78.816666999999995
20690.0;Vadso;Norway;a2220690, coa22f, gen22c;70.072222221999994;29.741388889000000
35600.0;Portsmouth Harbour;United Kingdom;a2035600, coa20c, gen20b, h2035600;50.799999999999997;-1.100000000000000
18942.0;Porpoise Harbor;Canada;a2618921, coa26c, gen26c, h2618950;54.216667000000001;-130.283332999999999
3330.0;Pelee I North Wharf;Canada;coa17d;41.816667000000002;-82.666667000000004
20220.0;Pilot Point;United States;coa25c, gen25b;57.566667000000002;-157.599999999999994
32950.0;Uig;United Kingdom;a1932830, coa19e, gen19a;57.583333000000003;-6.350000000000000
3700.0;Sarnia;Canada;h1802740;42.983333000000002;-82.416667000000004
33020.0;Stornoway Harbor;United Kingdom;a1932830, coa19e, gen19a;58.183332999999998;-6.366667000000000
2970.0;Port Hope;Canada;h1802740;43.933332999999998;-78.283332999999999
2150.0;Riviere Du Loup;Canada;a1802180;47.833333000000003;-69.516666999999998
19400.0;Port Alexander;United States;coa26d, gen26c;56.250000000000000;-134.650000000000006
34610.0;Workington;United Kingdom;a2034600, coa20i, gen20b;54.566667000000002;-3.633333000000000
32360.0;Portmahomack Harbor;United Kingdom;a2032350, coa20f, gen20b;57.833333000000003;-3.833333000000000
26180.0;Soraker;Sweden;a2225910, coa22u, gen22d;62.500000000000000;17.500000000000000
18090.0;Steveston;Canada;a2618150, gen26b, h2618100;49.133333000000000;-123.183333000000005
14630.0;Puerto Caldera;Chile;coa07d, gen07b, h0714630;-27.050000000000001;-70.833332999999996
34980.0;Port Talbot;United Kingdom;a2035070, coa20j, gen20b;51.583333000000003;-3.816667000000000
21820.0;Reine;Norway;a2221820, coa22h, gen22c;67.938611111000000;13.101666667000000
12600.0;Tutoia;Brazil;coa01d, gen01b;-2.783333000000000;-42.283332999999999
